Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,1.0707265,13.351002865329512,0.724737,0.821976026563014,0.821976026563014,0.033575807,0.24695922,0.00029678343,1.0
20000,0.4818458,6.912974683544304,0.9558036,0.9877900914215376,0.9877900914215376,0.0035605463,0.2425768,0.00029098702,1.0
30000,0.45972544,6.905705229793978,0.95727575,0.9909538937784113,0.9909538937784113,0.001164133,0.23771101,0.00028498005,1.0
40000,0.47170657,6.822517591868648,0.9613866,0.9918492506221753,0.9918492506221753,0.0008631177,0.23786163,0.00027903725,1.0
50000,0.44064975,6.746522411128284,0.9628237,0.9926852638826732,0.9926852638826732,0.00020720607,0.23638812,0.0002729866,1.0
60000,0.35997587,6.7193798449612405,0.9592356,0.9873405418137411,0.9873405418137411,0.0029909299,0.24002627,0.00026698646,1.0
70000,0.33578643,6.718918918918919,0.9614336,0.9919845628778676,0.9919845628778676,0.0005726739,0.24234195,0.00026100047,1.0
80000,0.32018304,6.758540372670807,0.96154016,0.9927075321679896,0.9927075321679896,0.00015254196,0.23851095,0.0002550284,1.0
90000,0.30156127,6.87244094488189,0.96210074,0.9918174736002455,0.9918174736002455,0.00060969987,0.23852581,0.00024897946,1.0
100000,0.3467615,6.683320522674865,0.9627052,0.9928106653241356,0.9928106653241356,0.00013374697,0.24524261,0.0002430078,1.0
110000,0.35186008,6.722222222222222,0.9625873,0.9927541896643326,0.9927541896643326,0.00012219162,0.23587123,0.00023699776,1.0
120000,0.36626172,6.7967161845191555,0.96146995,0.9926734286551353,0.9926734286551353,0.00016431265,0.23650996,0.00023097829,1.0
130000,0.3221623,6.718677940046119,0.96275705,0.9927494925113372,0.9927494925113372,9.575817e-05,0.24219193,0.00022497641,1.0
140000,0.3323179,6.735775526110678,0.96203554,0.9927399450042299,0.9927399450042299,0.00012172389,0.24219102,0.00021898294,1.0
150000,0.35197333,6.718364197530864,0.96271676,0.9927392044553051,0.9927392044553051,0.00010586688,0.24004252,0.00021302539,1.0
160000,0.31852865,6.703245749613601,0.9624606,0.9927709365295152,0.9927709365295152,9.1509304e-05,0.24182077,0.00020701095,1.0
170000,0.31094134,6.701538461538462,0.9628573,0.9920056565910096,0.9920056565910096,0.00065171666,0.23362567,0.00020098509,1.0
180000,0.29543543,6.697297297297298,0.9627816,0.9927790677024365,0.9927790677024365,7.863094e-05,0.24662165,0.00019498714,1.0
190000,0.30831078,6.695084485407066,0.96244574,0.9920076991861256,0.9920076991861256,0.00060207525,0.2397082,0.00018903494,1.0
